Company,Year,ForeignShare,RussianShare,Sector
Gazpromneft,2013,4.3,95.7,OilGas
Gazpromneft,2014,4.2,95.8,OilGas
Gazpromneft,2015,4.1,95.9,OilGas
Gazpromneft,2016,4.0,96.0,OilGas
Gazpromneft,2017,3.9,96.1,OilGas
Gazpromneft,2018,3.8,96.2,OilGas
Gazpromneft,2019,3.7,96.3,OilGas
Gazpromneft,2020,3.6,96.4,OilGas
Gazpromneft,2021,3.5,96.5,OilGas
Rosneft,2013,0.41,99.59,OilGas
Rosneft,2014,0.41,99.59,OilGas
Rosneft,2015,38.0,62.0,OilGas
Rosneft,2016,36.5,63.5,OilGas
Rosneft,2017,35.0,65.0,OilGas
Rosneft,2018,34.0,66.0,OilGas
Rosneft,2019,33.5,66.5,OilGas
Rosneft,2020,32.0,68.0,OilGas
Rosneft,2021,30.0,70.0,OilGas
Lukoil,2013,19.0,81.0,OilGas
Lukoil,2014,19.5,80.5,OilGas
Lukoil,2015,20.0,80.0,OilGas
Lukoil,2016,20.5,79.5,OilGas
Lukoil,2017,21.0,79.0,OilGas
Lukoil,2018,21.5,78.5,OilGas
Lukoil,2019,22.0,78.0,OilGas
Lukoil,2020,22.5,77.5,OilGas
Lukoil,2021,23.0,77.0,OilGas
Severstal,2013,28.0,72.0,Metallurgy
Severstal,2014,28.5,71.5,Metallurgy
Severstal,2015,29.0,71.0,Metallurgy
Severstal,2016,29.5,70.5,Metallurgy
Severstal,2017,30.0,70.0,Metallurgy
Severstal,2018,30.5,69.5,Metallurgy
Severstal,2019,31.0,69.0,Metallurgy
Severstal,2020,31.5,68.5,Metallurgy
Severstal,2021,32.0,68.0,Metallurgy
Nornickel,2013,27.8,72.2,Metallurgy
Nornickel,2014,27.8,72.2,Metallurgy
Nornickel,2015,91.74,8.26,Metallurgy
Nornickel,2016,89.0,11.0,Metallurgy
Nornickel,2017,87.5,12.5,Metallurgy
Nornickel,2018,86.0,14.0,Metallurgy
Nornickel,2019,85.0,15.0,Metallurgy
Nornickel,2020,84.0,16.0,Metallurgy
Nornickel,2021,83.0,17.0,Metallurgy
